move,observations,time step
"[0.1,0.0]","[[1.1028661577663939, 2.0337391330391053], [1.1424065158742858, 1.1004673165179275], [1.1133199138036656, -2.019501074397287], [1.112574503992849, -1.0726690989282934]]",0.2
"[0.1,0.0]","[[1.1184637996917968, 2.038867106804344], [1.1200046107100696, 1.080259387896677], [1.1092200155905512, -2.0378940191726604], [1.107159149052046, -1.10877107147171]]",0.2
"[0.1,0.0]","[[1.1284504443104257, 2.0777494366382436], [1.1183644499457783, 1.137977947344719], [1.1213691891121214, -2.039249327195432], [1.1219994030300786, -1.1374612185538444]]",0.2
"[0.1,0.0]","[[1.123158719023039, 2.072172913988914], [1.0843567971193973, 1.1277095240863926], [1.1507067615277318, -2.081455684122716], [1.0782531074540855, -1.1149866352625526]]",0.2
"[0.1,0.0]","[[1.1646089838467502, 2.082341302829278], [1.0888604889702205, 1.1659438440316732], [1.15827584248049, -2.069110965053041], [1.0970999802129757, -1.1672445875103143]]",0.2
"[0.1,0.0]","[[1.1596485064272541, 2.098287582695648], [1.0745389346598577, 1.1439463512943502], [1.171331759492357, -2.1009235903084282], [1.094702927886181, -1.1773775868644962]]",0.2
"[0.1,0.0]","[[1.1733329221450814, 2.088083638579545], [1.064747185533365, 1.205698624828193], [1.1564205879952372, -2.1444052582209836], [1.0649547878545662, -1.1836358624757835]]",0.2
"[0.1,0.0]","[[1.1740355919904568, 2.1445766480820088], [1.0672658570546008, 1.1840183682413736], [1.175722624446271, -2.108181787342155], [1.0793297617776478, -1.1866872526514243]]",0.2
"[0.1,0.0]","[[1.196272194076419, 2.1301775837788], [1.0704220956286343, 1.2073248800940306], [1.1863051625554324, -2.141930587926857], [1.0561349001410991, -1.2253601352268355]]",0.2
"[0.1,0.0]","[[1.1859178434014226, 2.1598007549925335], [1.0575425258912372, 1.2494005110198114], [1.2035226365656102, -2.144549318740186], [1.0645299022006824, -1.226997145090256]]",0.2
"[0.1,0.0]","[[1.2256073242511913, 2.1291687058780275], [1.048208951640354, 1.2652646732378696], [1.2011509120874884, -2.1856997308957586], [1.059942728139874, -1.268988808496594]]",0.2
"[0.1,0.0]","[[1.2275193449276733, 2.192721853066825], [1.0515355956650128, 1.2455454296952204], [1.2082570002024189, -2.1969282918064392], [1.0449525530779542, -1.2820017183797523]]",0.2
"[0.1,0.0]","[[1.22956397962926, 2.166064601586804], [1.032799290559386, 1.3071124369500295], [1.2332849919006716, -2.226781553781645], [1.0445551881573536, -1.3095940841008007]]",0.2
"[0.1,0.0]","[[1.2408441393573821, 2.224133561037266], [1.0292397021188933, 1.3090422710069174], [1.2372642896366781, -2.224996254881239], [1.0173628991604267, -1.2951828610706273]]",0.2
"[0.1,0.0]","[[1.2728260572826473, 2.244568613450682], [1.0194286456680735, 1.3372303646572017], [1.2656849727975972, -2.212417162224065], [1.0354103108471748, -1.3278507406859372]]",0.2
"[0.1,0.0]","[[1.2649708028374282, 2.2534895637522583], [1.031378741664459, 1.363575217065239], [1.2665429935549846, -2.24005297862327], [1.0293285146362605, -1.3855707953592118]]",0.2
"[0.1,0.0]","[[1.2907576952014086, 2.2471474175436295], [1.0218729415395793, 1.346703011935423], [1.2913312138384632, -2.2228635804143835], [1.0207727603569214, -1.351485375373557]]",0.2
"[0.1,0.0]","[[1.306575059545288, 2.2505034324486815], [1.024360091146369, 1.3954792691874573], [1.295907950504189, -2.2457287261638665], [1.022559314975562, -1.4026222000044852]]",0.2
"[0.1,0.0]","[[1.2948137185902207, 2.288035298706117], [1.0081599818439724, 1.431378915789031], [1.3207295475034366, -2.261812292489848], [0.9976255014390977, -1.3776491706466598]]",0.2
"[0.1,0.0]","[[1.3267376112310225, 2.2886124393125042], [0.9996321282914716, 1.4521674642290183], [1.302034943779799, -2.291905041083346], [0.9995591694833013, -1.4521392477648079]]",0.2
"[0.1,0.0]","[[1.3400471267504257, 2.2673304823533247], [0.9988845331088259, 1.4483361818882017], [1.3270930328803323, -2.2877023007980397], [1.0137870406713907, -1.4300704948238245]]",0.2
"[0.1,0.0]","[[1.359710663729392, 2.3067518075881446], [0.9957648030672651, 1.4673963380560893], [1.4981935646292543, 0.764399713160214], [1.3500440786299153, -2.2898444695188034], [1.0113814756703239, -1.465957499560635], [1.4838507454285754, -0.7529774488170816]]",0.2
"[0.1,0.0]","[[1.3409021545895252, 2.2940944624412243], [0.9992532431824843, 1.5106926155040266], [1.475982975234483, 0.7518958544422645], [1.3514275033746257, -2.311341104371953], [1.0157217048275522, -1.4606088044413454], [1.4588129380643136, -0.7612466070497371]]",0.2
"[0.1,0.0]","[[1.3697235144577493, 2.3286789188029835], [1.0006919343393919, 1.4873608191279648], [1.4490616978214486, 0.7830004764727104], [1.357893448563888, -2.3381895961014783], [0.9993489444854875, -1.5176720915942257], [1.4717821870459769, -0.7570890832244174]]",0.2
"[0.1,0.0]","[[1.3867776191480665, 2.330964309212448], [0.9973822387360224, 1.5415323423315128], [1.429419577798575, 0.7630336067135259], [1.3874381121252533, -2.352533674629365], [1.0044781811319092, -1.547563533931183], [1.4478141503664892, -0.7617312641924471]]",0.2
"[0.1,0.0]","[[1.3936315669381776, 2.33457064578383], [0.9914343003206866, 1.5395376032223467], [1.4275462803216434, 0.7570374550917012], [1.39785801238952, -2.3356726668132177], [0.9934503519294272, -1.55049310818058], [1.4405526284293804, -0.7605856122396396]]",0.2
"[0.1,0.0]","[[1.3982874659010476, 2.379423410556513], [1.0080632033818295, 1.5705283709015117], [1.4149773284383185, 0.7849065975572637], [1.4065033851540805, -2.3793741670181427], [0.9930139247147751, -1.585681318206654], [1.4138046438872554, -0.7804530850718748]]",0.2
"[0.1,0.0]","[[1.422382981568875, 2.3647804654023497], [0.9856566212560622, 1.6059383759795995], [1.3980890655772864, 0.8101712666092608], [1.424069797165574, -2.338793362415759], [1.0120107892222934, -1.6104707432477112], [1.4054633523812254, -0.7822209646239371]]",0.2
"[0.1,0.0]","[[1.4464499134172797, 2.3743959113807946], [0.9924424426723228, 1.6139005078363242], [1.3910939705366028, 0.8076366075359723], [1.4515487645563507, -2.4023542722093607], [1.0110187445727439, -1.6221277458378405], [1.383913089562994, -0.8064728507340776]]",0.2
"[0.1,0.0]","[[1.4570197463776096, 2.391885570541971], [0.9780645254846885, 1.631482648190259], [1.3667740731725444, 0.8070980218098207], [1.458930241462042, -2.402847954246291], [1.004857458711866, -1.6455492739377056], [1.3707340498915663, -0.7896425406460589]]",0.2
"[0.1,0.0]","[[1.4811300252754616, 2.3910435312474365], [0.9913982548444787, 1.6381223657260173], [1.3678532492747797, 0.8280860771973524], [1.4756373661765287, -2.396932997746025], [1.0043078844557205, -1.6453288137732853], [1.3734620086444878, -0.8090243221008834]]",0.2
"[0.1,0.0]","[[1.4597983353437218, 2.393139877348237], [1.001489400112945, 1.66956881924835], [1.3401015328720383, 0.8557158417458871], [1.4860206443057127, -2.397914886285673], [1.0036885958558532, -1.6632323757357472], [1.3564671638507897, -0.8424182092462299]]",0.2
"[0.1,0.0]","[[1.022266035251276, 1.674944668597717], [1.3420134914559427, 0.8249460170594513], [1.0017652870453817, -1.7246997275414941], [1.3456860629623795, -0.8300950981849109]]",0.2
"[0.1,0.0]","[[1.0202120725798196, 1.7089905013088516], [1.3144015530776911, 0.8622313230442049], [1.0330353526232479, -1.7355934121377288], [1.3263617120933018, -0.8559731831195962]]",0.2
"[0.1,0.0]","[[1.0169278186445563, 1.7501152530155], [1.3212700235646933, 0.853459035006345], [1.0096586737296867, -1.7329187227298783], [1.2906287138776613, -0.852859460218875]]",0.2
"[0.1,0.0]","[[1.0246303429117896, 1.7322097569768715], [1.2903665379665645, 0.8702527538430326], [1.007643687297257, -1.7426717306418127], [1.309542216041066, -0.8816349390112549]]",0.2
"[0.1,0.0]","[[1.023945569795233, 1.7654397653332519], [1.285932993473744, 0.8981163217589974], [1.027756595243234, -1.7559696376225533], [1.2855161118313962, -0.9117146905002735]]",0.2
"[0.1,0.0]","[[1.007575280245551, 1.7861966154334008], [1.264204438641316, 0.8842129092982842], [1.0172011752244368, -1.7795625517227145], [1.273831219158093, -0.9023381273940916]]",0.2
"[0.1,0.0]","[[1.032232742173362, 1.804824103351122], [1.2614952624385898, 0.894695850758862], [1.0374614432668594, -1.7920762242879624], [1.2549547979452178, -0.9339730015870419]]",0.2
"[0.1,0.0]","[[1.0185203932386182, 1.8401858104878623], [1.2422830928161543, 0.9254252411046024], [1.0346524090134652, -1.7990478275187196], [1.2474770427712052, -0.9503008168519252]]",0.2
"[0.1,0.0]","[[1.0378600359015866, 1.8541986367040824], [1.2412534466128586, 0.9767238307961659], [1.0402741409170602, -1.8574201645895156], [1.2315805089254641, -0.9377129066897456]]",0.2
"[0.1,0.0]","[[1.0408324909333058, 1.8892974798125024], [1.2105237001727407, 0.9613953513478499], [1.0670162152362161, -1.8594061327009892], [1.2508934658300483, -0.9546243371872961]]",0.2
"[0.1,0.0]","[[1.0437973229058002, 1.8705848030246524], [1.2210018466294936, 0.983256309403274], [1.0404282337805428, -1.9039937386058514], [1.203066433449832, -0.9726696924218012]]",0.2
"[0.1,0.0]","[[1.0446996189376199, 1.885094412532288], [1.1910210369827965, 0.9608542241838037], [1.0545335573623704, -1.9158503650855254], [1.1802506254743554, -0.9677020989039455]]",0.2
"[0.1,0.0]","[[1.0678434692298302, 1.900486898982261], [1.1713600759647118, 0.9861700717583702], [1.0729529264524276, -1.910401125579078], [1.180716130156572, -1.0043563992560691]]",0.2
"[0.1,0.0]","[[1.0637830627477245, 1.9501820789263442], [1.1649952777106378, 1.0510137537051607], [1.0462113267060922, -1.9149735968407513], [1.1799928036504146, -1.020955477200175]]",0.2
"[0.1,0.0]","[[1.07159393818182, 1.9551716094853322], [1.154770318676099, 1.0196127302844937], [1.0753191718025126, -1.926756141018269], [1.1731769160510945, -1.042226533224304]]",0.2
"[0.1,0.0]","[[1.087876458007691, 1.9667463317009402], [1.1555846534272698, 1.0508381056622162], [1.0896674566772735, -1.9730676405388756], [1.1614479253114784, -1.0401821203895214]]",0.2
"[0.1,0.0]","[[1.0984047858988935, 1.9791782825540174], [1.1573451228829799, 1.0600732833887783], [1.0727093293704337, -2.000568845536557], [1.1396621070486286, -1.0133978616003858]]",0.2
"[0.1,0.0]","[[1.0952739499371085, 1.9910983704515903], [1.137135098966773, 1.1029153073015376], [1.098511199418049, -1.9912744833988312], [1.127838113091691, -1.0438306391061425]]",0.2
"[0.1,0.0]","[[1.098832021977348, 2.0529979883037224], [1.1480784883653883, 1.0709014823250622], [1.110879989214955, -2.0401812491638185], [1.123552483360049, -1.113784224030204]]",0.2
"[0.1,0.0]","[[1.1041103734530116, 2.033272027422718], [1.1266093497109562, 1.1427522031271014], [1.492391563665346, 0.005399297990846719], [1.1191339787134351, -2.033254007762895], [1.1088987937035235, -1.1266367264709671]]",0.2
"[0.1,0.0]","[[1.1298027977405323, 2.0429386203604185], [1.1179682219339997, 1.1191633001678645], [1.459088965602912, 0.005928865083769884], [1.1275567777781175, -2.0147138323298552], [1.1035381710867946, -1.0954251942194368]]",0.2
"[0.1,0.0]","[[1.1394926578754196, 2.0591431687579753], [1.1143215836143299, 1.1520559544781497], [1.4517488454986194, 0.0034493818724906874], [1.1356069112188767, -2.071310683731706], [1.10853526799738, -1.1457206777577595]]",0.2
"[0.1,0.0]","[[1.151850549736276, 2.099743833154187], [1.0766416745824787, 1.1744232674088766], [1.4437147519643305, 0.018502029519735907], [1.136899401673882, -2.064203542239601], [1.0992307050312853, -1.186741888447158]]",0.2
